,IZO,ZarizeniTyp,Kapacita,KapacitaJednotka,Kraj
0,049625918,Mateřská škola,54,dítě,Hlavní město Praha
1,107500884,Mateřská škola,70,dítě,Hlavní město Praha
2,110034384,Mateřská škola,6,dítě,Hlavní město Praha
3,060437171,Mateřská škola,130,dítě,Hlavní město Praha
4,110035585,Mateřská škola,18,dítě,Hlavní město Praha
5,049370782,Mateřská škola,86,dítě,Hlavní město Praha
6,110020766,Mateřská škola,131,dítě,Hlavní město Praha
7,049625063,Mateřská škola,46,dítě,Hlavní město Praha
8,108000915,Mateřská škola,53,dítě,Hlavní město Praha
9,108001466,Mateřská škola,241,dítě,Středočeský kraj
10,110350294,Mateřská škola,22,dítě,Hlavní město Praha
11,110012739,Mateřská škola,22,dítě,Středočeský kraj
12,110012755,Mateřská škola,18,dítě,Středočeský kraj
13,110012747,Mateřská škola,28,dítě,Středočeský kraj
14,108002497,Mateřská škola,60,dítě,Středočeský kraj
15,045883165,Mateřská škola,20,dítě,Středočeský kraj
16,107514664,Mateřská škola,40,dítě,Středočeský kraj
17,108022757,Mateřská škola,40,dítě,Středočeský kraj
18,047234601,Mateřská škola,85,dítě,Jihočeský kraj
19,049020790,Mateřská škola,75,dítě,Jihočeský kraj
20,060074868,Mateřská škola,20,dítě,Jihočeský kraj
21,102109044,Mateřská škola,28,dítě,Jihočeský kraj
22,002164825,Mateřská škola,50,dítě,Jihočeský kraj
23,000582573,Mateřská škola,84,dítě,Jihočeský kraj
24,110100247,Mateřská škola,30,dítě,Karlovarský kraj
25,040556999,Mateřská škola,48,dítě,Plzeňský kraj
26,108044840,Mateřská škola,25,dítě,Liberecký kraj
27,108029093,Mateřská škola,50,dítě,Liberecký kraj
28,108044823,Mateřská škola,48,dítě,Liberecký kraj
29,110018125,Mateřská škola,48,dítě,Liberecký kraj
30,047791136,Mateřská škola,75,dítě,Ústecký kraj
31,110018109,Mateřská škola,227,dítě,Ústecký kraj
32,060126353,Mateřská škola,37,dítě,Kraj Vysočina
33,044992114,Mateřská škola,180,dítě,Jihomoravský kraj
34,048871133,Mateřská škola,112,dítě,Jihomoravský kraj
